Mask,Image
humap_dataset/train/masks/7692743740c8_mask.tif,humap_dataset/train/images/7692743740c8.tif
humap_dataset/train/masks/afe3a6d7f7ba_mask.tif,humap_dataset/train/images/afe3a6d7f7ba.tif
humap_dataset/train/masks/7f41aff561f7_mask.tif,humap_dataset/train/images/7f41aff561f7.tif
humap_dataset/train/masks/c54a545a9ced_mask.tif,humap_dataset/train/images/c54a545a9ced.tif
humap_dataset/train/masks/1c46f36cf55c_mask.tif,humap_dataset/train/images/1c46f36cf55c.tif
humap_dataset/train/masks/c50e14816f9d_mask.tif,humap_dataset/train/images/c50e14816f9d.tif
humap_dataset/train/masks/9f62eba82f40_mask.tif,humap_dataset/train/images/9f62eba82f40.tif
humap_dataset/train/masks/a50f200ad02f_mask.tif,humap_dataset/train/images/a50f200ad02f.tif
humap_dataset/train/masks/a27ffddbba42_mask.tif,humap_dataset/train/images/a27ffddbba42.tif
humap_dataset/train/masks/5f27d6930c04_mask.tif,humap_dataset/train/images/5f27d6930c04.tif
humap_dataset/train/masks/041ad8166762_mask.tif,humap_dataset/train/images/041ad8166762.tif
humap_dataset/train/masks/abbacf024cb5_mask.tif,humap_dataset/train/images/abbacf024cb5.tif
humap_dataset/train/masks/932c4fa02fee_mask.tif,humap_dataset/train/images/932c4fa02fee.tif
humap_dataset/train/masks/e1f6c8a7873e_mask.tif,humap_dataset/train/images/e1f6c8a7873e.tif
humap_dataset/train/masks/cf921187e2bc_mask.tif,humap_dataset/train/images/cf921187e2bc.tif
humap_dataset/train/masks/55b07829e888_mask.tif,humap_dataset/train/images/55b07829e888.tif
humap_dataset/train/masks/c3e34170ff28_mask.tif,humap_dataset/train/images/c3e34170ff28.tif
humap_dataset/train/masks/ff66dec71c4c_mask.tif,humap_dataset/train/images/ff66dec71c4c.tif
humap_dataset/train/masks/ec963d44976f_mask.tif,humap_dataset/train/images/ec963d44976f.tif
humap_dataset/train/masks/3ad70040eeeb_mask.tif,humap_dataset/train/images/3ad70040eeeb.tif
humap_dataset/train/masks/04c08080b2ae_mask.tif,humap_dataset/train/images/04c08080b2ae.tif
humap_dataset/train/masks/e5ac1caaadd8_mask.tif,humap_dataset/train/images/e5ac1caaadd8.tif
humap_dataset/train/masks/0a10b8716b30_mask.tif,humap_dataset/train/images/0a10b8716b30.tif
humap_dataset/train/masks/160aa890cbcc_mask.tif,humap_dataset/train/images/160aa890cbcc.tif
humap_dataset/train/masks/697bcd4929eb_mask.tif,humap_dataset/train/images/697bcd4929eb.tif
humap_dataset/train/masks/a8479babffaa_mask.tif,humap_dataset/train/images/a8479babffaa.tif
humap_dataset/train/masks/56b724dc963a_mask.tif,humap_dataset/train/images/56b724dc963a.tif
humap_dataset/train/masks/19c8864ac6a0_mask.tif,humap_dataset/train/images/19c8864ac6a0.tif
humap_dataset/train/masks/3f4f881abe88_mask.tif,humap_dataset/train/images/3f4f881abe88.tif
humap_dataset/train/masks/e83d5ab2d9f5_mask.tif,humap_dataset/train/images/e83d5ab2d9f5.tif
humap_dataset/train/masks/352777709276_mask.tif,humap_dataset/train/images/352777709276.tif
humap_dataset/train/masks/7cdef60980be_mask.tif,humap_dataset/train/images/7cdef60980be.tif
humap_dataset/train/masks/4d30590359d2_mask.tif,humap_dataset/train/images/4d30590359d2.tif
humap_dataset/train/masks/fbe4539bc60f_mask.tif,humap_dataset/train/images/fbe4539bc60f.tif
humap_dataset/train/masks/dcdc443bdaf3_mask.tif,humap_dataset/train/images/dcdc443bdaf3.tif
humap_dataset/train/masks/b6219a22e5e3_mask.tif,humap_dataset/train/images/b6219a22e5e3.tif
humap_dataset/train/masks/adc67bf6077e_mask.tif,humap_dataset/train/images/adc67bf6077e.tif
humap_dataset/train/masks/2aaf9e8db9d8_mask.tif,humap_dataset/train/images/2aaf9e8db9d8.tif
humap_dataset/train/masks/800e6eb2c9a9_mask.tif,humap_dataset/train/images/800e6eb2c9a9.tif
humap_dataset/train/masks/d264f8462c81_mask.tif,humap_dataset/train/images/d264f8462c81.tif
humap_dataset/train/masks/2dbb4700f7be_mask.tif,humap_dataset/train/images/2dbb4700f7be.tif
humap_dataset/train/masks/6230a948334b_mask.tif,humap_dataset/train/images/6230a948334b.tif
humap_dataset/train/masks/a4452ffa233b_mask.tif,humap_dataset/train/images/a4452ffa233b.tif
humap_dataset/train/masks/d169174a769b_mask.tif,humap_dataset/train/images/d169174a769b.tif
humap_dataset/train/masks/a891b1ffc5a3_mask.tif,humap_dataset/train/images/a891b1ffc5a3.tif
humap_dataset/train/masks/74e6545e7553_mask.tif,humap_dataset/train/images/74e6545e7553.tif
humap_dataset/train/masks/2d5459d56621_mask.tif,humap_dataset/train/images/2d5459d56621.tif
humap_dataset/train/masks/1a785cc0d167_mask.tif,humap_dataset/train/images/1a785cc0d167.tif
humap_dataset/train/masks/56102e85ff9f_mask.tif,humap_dataset/train/images/56102e85ff9f.tif
humap_dataset/train/masks/1dbec7df021e_mask.tif,humap_dataset/train/images/1dbec7df021e.tif
humap_dataset/train/masks/14ac6b8b4ab6_mask.tif,humap_dataset/train/images/14ac6b8b4ab6.tif
humap_dataset/train/masks/5232ba7fa001_mask.tif,humap_dataset/train/images/5232ba7fa001.tif
humap_dataset/train/masks/e6d6daaf7bf9_mask.tif,humap_dataset/train/images/e6d6daaf7bf9.tif
humap_dataset/train/masks/590f64bf82a6_mask.tif,humap_dataset/train/images/590f64bf82a6.tif
humap_dataset/train/masks/3d5f53402137_mask.tif,humap_dataset/train/images/3d5f53402137.tif
humap_dataset/train/masks/27661a87f456_mask.tif,humap_dataset/train/images/27661a87f456.tif
humap_dataset/train/masks/bd4bbe103c24_mask.tif,humap_dataset/train/images/bd4bbe103c24.tif
humap_dataset/train/masks/b0fcbfe0fca4_mask.tif,humap_dataset/train/images/b0fcbfe0fca4.tif
humap_dataset/train/masks/454cf72a9ed9_mask.tif,humap_dataset/train/images/454cf72a9ed9.tif
humap_dataset/train/masks/dd83f2d82305_mask.tif,humap_dataset/train/images/dd83f2d82305.tif
humap_dataset/train/masks/a36b81bcf078_mask.tif,humap_dataset/train/images/a36b81bcf078.tif
humap_dataset/train/masks/95c077870f91_mask.tif,humap_dataset/train/images/95c077870f91.tif
humap_dataset/train/masks/5ac2aabf1cda_mask.tif,humap_dataset/train/images/5ac2aabf1cda.tif
humap_dataset/train/masks/453ffb49c67f_mask.tif,humap_dataset/train/images/453ffb49c67f.tif
humap_dataset/train/masks/8758e0b50301_mask.tif,humap_dataset/train/images/8758e0b50301.tif
humap_dataset/train/masks/3db8c9dbf20f_mask.tif,humap_dataset/train/images/3db8c9dbf20f.tif
humap_dataset/train/masks/6443bced36cd_mask.tif,humap_dataset/train/images/6443bced36cd.tif
humap_dataset/train/masks/91b640a96931_mask.tif,humap_dataset/train/images/91b640a96931.tif
humap_dataset/train/masks/1daf55f162a1_mask.tif,humap_dataset/train/images/1daf55f162a1.tif
humap_dataset/train/masks/56e6e1efa7d0_mask.tif,humap_dataset/train/images/56e6e1efa7d0.tif
humap_dataset/train/masks/5f828ab21444_mask.tif,humap_dataset/train/images/5f828ab21444.tif
humap_dataset/train/masks/5c48013d4c6d_mask.tif,humap_dataset/train/images/5c48013d4c6d.tif
humap_dataset/train/masks/b987af6e6106_mask.tif,humap_dataset/train/images/b987af6e6106.tif
humap_dataset/train/masks/e72ed3bd99b5_mask.tif,humap_dataset/train/images/e72ed3bd99b5.tif
humap_dataset/train/masks/94dd41f92b1d_mask.tif,humap_dataset/train/images/94dd41f92b1d.tif
humap_dataset/train/masks/c71a1602289a_mask.tif,humap_dataset/train/images/c71a1602289a.tif
humap_dataset/train/masks/1185d302d242_mask.tif,humap_dataset/train/images/1185d302d242.tif
humap_dataset/train/masks/8ca6628424da_mask.tif,humap_dataset/train/images/8ca6628424da.tif
humap_dataset/train/masks/b12239b2762f_mask.tif,humap_dataset/train/images/b12239b2762f.tif
humap_dataset/train/masks/7622056d3e90_mask.tif,humap_dataset/train/images/7622056d3e90.tif
humap_dataset/train/masks/ff4897b3eda6_mask.tif,humap_dataset/train/images/ff4897b3eda6.tif
humap_dataset/train/masks/a0807299bd53_mask.tif,humap_dataset/train/images/a0807299bd53.tif
humap_dataset/train/masks/f4d25e273134_mask.tif,humap_dataset/train/images/f4d25e273134.tif
humap_dataset/train/masks/ac68833641fe_mask.tif,humap_dataset/train/images/ac68833641fe.tif
humap_dataset/train/masks/5ed62676da45_mask.tif,humap_dataset/train/images/5ed62676da45.tif
humap_dataset/train/masks/55cab2c9c13a_mask.tif,humap_dataset/train/images/55cab2c9c13a.tif
humap_dataset/train/masks/3a884b41a4b8_mask.tif,humap_dataset/train/images/3a884b41a4b8.tif
humap_dataset/train/masks/3e01bb974a1b_mask.tif,humap_dataset/train/images/3e01bb974a1b.tif
humap_dataset/train/masks/becaaec84ca6_mask.tif,humap_dataset/train/images/becaaec84ca6.tif
humap_dataset/train/masks/dcea4e9d6726_mask.tif,humap_dataset/train/images/dcea4e9d6726.tif
humap_dataset/train/masks/b137de0d8f5c_mask.tif,humap_dataset/train/images/b137de0d8f5c.tif
humap_dataset/train/masks/7fc91238e6f8_mask.tif,humap_dataset/train/images/7fc91238e6f8.tif
humap_dataset/train/masks/212788639fa5_mask.tif,humap_dataset/train/images/212788639fa5.tif
humap_dataset/train/masks/37cac808f375_mask.tif,humap_dataset/train/images/37cac808f375.tif
